pincode,area_sqkm,centroid_lat,centroid_lon,min_lat,min_lon,max_lat,max_lon,n_parts
670504,22.4958,12.091539,75.268846,12.066822,75.241635,12.113369,75.294360,1
670511,36.7423,12.314265,75.394975,12.282990,75.359688,12.344224,75.432968,1
670612,39.2689,11.892588,75.526359,11.859201,75.477843,11.928200,75.566129,1
761132,429.8054,20.044818,84.469844,19.950298,84.324577,20.206753,84.612200,1
761105,214.3281,19.707053,84.830169,19.571963,84.769185,19.842397,85.009682,1
799008,53.6318,23.858002,91.356640,23.803894,91.302873,23.897364,91.418513,1
273409,68.1231,26.390638,83.306374,26.345041,83.261906,26.436517,83.348006,1
314024,111.1219,23.746745,74.010827,23.684795,73.946340,23.811981,74.068969,1
722101,172.7334,23.083062,86.776679,22.993457,86.711456,23.172361,86.866481,1
273411,125.8291,26.436815,83.433970,26.390078,83.344812,26.487215,83.510735,1
670622,30.8645,11.841077,75.495855,11.815924,75.462054,11.871138,75.536748,1
833203,384.0929,22.243784,85.684001,22.078274,85.547314,22.364320,85.825416,1
833204,1457.3278,22.485986,85.853462,22.247141,85.561558,22.716964,86.060850,1
314025,119.5905,23.667814,74.006404,23.629697,73.918308,23.709879,74.096223,1
314026,31.1681,23.560410,74.032721,23.514791,74.001078,23.593654,74.068461,1
610106,24.0934,10.729562,79.669067,10.691163,79.642376,10.758266,79.695773,1
314027,130.0178,23.608583,73.974160,23.574059,73.873938,23.646500,74.076693,1
314028,106.3063,23.799300,73.917518,23.746134,73.852452,23.853930,73.967677,1
314029,118.2302,23.720658,73.891269,23.680173,73.794945,23.764218,73.962872,1
722150,252.3736,22.781262,87.009060,22.650076,86.927564,22.904289,87.087555,1
273155,277.9571,27.108903,83.346839,27.036036,83.198690,27.196728,83.451458,1
700125,24.1798,22.762694,88.485851,22.724735,88.457909,22.789349,88.520986,1
314030,284.0451,23.434233,73.914839,23.334211,73.822441,23.525667,74.020085,1
627012,58.8676,8.730735,77.599786,8.690241,77.561903,8.789113,77.665824,1
834002,26.6192,23.332464,85.322119,23.303158,85.281022,23.365573,85.357500,1
