pincode,n_offices,has_boundary,status
828311,0,1,retired
829115,0,1,retired
829120,0,1,retired
829124,0,1,retired
829137,0,1,retired
829145,0,1,retired
829146,0,1,retired
831008,0,1,retired
831021,0,1,retired
831032,0,1,retired
831033,0,1,retired
831037,0,1,retired
832113,0,1,retired
832119,0,1,retired
833210,0,1,retired
834007,0,1,retired
834013,0,1,retired
834026,0,1,retired
835224,0,1,retired
835236,0,1,retired
835238,0,1,retired
835239,0,1,retired
835240,0,1,retired
835244,0,1,retired
835304,0,1,retired
835305,0,1,retired
835306,0,1,retired
835324,21,0,active
841105,0,1,retired
841247,0,1,retired
841433,0,1,retired
842101,0,1,retired
843116,0,1,retired
843132,0,1,retired
843133,0,1,retired
843139,0,1,retired
843141,0,1,retired
843144,0,1,retired
843147,0,1,retired
843152,0,1,retired
843153,0,1,retired
843161,0,1,retired
843162,0,1,retired
843165,0,1,retired
844131,0,1,retired
844134,0,1,retired
844139,0,1,retired
844141,0,1,retired
847202,0,1,retired
847406,0,1,retired
848111,0,1,retired
848116,0,1,retired
848118,0,1,retired
848220,0,1,retired
848237,0,1,retired
851103,0,1,retired
851119,0,1,retired
851122,0,1,retired
851219,0,1,retired
851220,0,1,retired
851225,0,1,retired
852133,0,1,retired
853207,0,1,retired
