pincode,primary_district,primary_state,n_districts,n_states,n_offices
175121,Mandi,Himachal Pradesh,2,1,10
175123,Kullu,Himachal Pradesh,2,1,25
175125,Kullu,Himachal Pradesh,2,1,11
175141,Kullu,Himachal Pradesh,2,1,4
177033,Hamirpur,Himachal Pradesh,2,1,6
177038,Hamirpur,Himachal Pradesh,2,1,4
177110,Una,Himachal Pradesh,2,1,10
181141,Samba,Jammu & Kashmir,2,1,6
181143,Samba,Jammu & Kashmir,2,1,4
182121,Udhampur,Jammu & Kashmir,2,1,13
182143,Doda,Jammu & Kashmir,2,1,10
182203,Doda,Jammu & Kashmir,2,1,12
184121,Samba,Jammu & Kashmir,2,1,18
184141,Kathua,Jammu & Kashmir,2,1,7
184205,Udhampur,Jammu & Kashmir,2,1,7
185154,Jammu,Jammu & Kashmir,2,1,6
185203,Reasi,Jammu & Kashmir,2,1,15
190015,Srinagar,Jammu & Kashmir,2,1,4
190018,Budgam,Jammu & Kashmir,2,1,3
190019,Budgam,Jammu & Kashmir,2,1,2
192121,Pulwama,Jammu & Kashmir,2,1,6
192122,Pulwama,Jammu & Kashmir,2,1,8
192232,Kulgam,Jammu & Kashmir,2,1,13
192305,Shopian,Jammu & Kashmir,2,1,9
193121,Baramulla,Jammu & Kashmir,2,1,20
193303,Baramulla,Jammu & Kashmir,2,1,8
193306,Pulwama,Jammu & Kashmir,2,1,6
193404,Baramulla,Jammu & Kashmir,2,1,13
193504,Bandipora,Jammu & Kashmir,2,1,6
201009,Ghaziabad,Uttar Pradesh,2,1,11
201015,Ghaziabad,Uttar Pradesh,2,1,10
202150,Aligarh,Uttar Pradesh,2,1,11
203001,Bulandshahr,Uttar Pradesh,2,1,31
206120,Etawah,Uttar Pradesh,2,1,9
206121,Auraiya,Uttar Pradesh,2,1,19
206128,Etawah,Uttar Pradesh,2,1,7
207241,Kasganj,Uttar Pradesh,2,1,10
207244,Etah,Uttar Pradesh,2,1,11
207248,Etah,Uttar Pradesh,2,1,11
208001,Kanpur Nagar,Uttar Pradesh,2,1,19
209121,Kanpur Dehat,Uttar Pradesh,2,1,21
209307,Kanpur Dehat,Uttar Pradesh,2,1,14
209311,Kanpur Dehat,Uttar Pradesh,2,1,6
209402,Kanpur Nagar,Uttar Pradesh,2,1,19
209720,Kannauj,Uttar Pradesh,2,1,10
209724,Farrukhabad,Uttar Pradesh,2,1,10
209863,Unnao,Uttar Pradesh,2,1,15
209869,Unnao,Uttar Pradesh,2,1,7
210202,Banda,Uttar Pradesh,2,1,17
210425,Mahoba,Uttar Pradesh,2,1,5
210504,Mahoba,Uttar Pradesh,2,1,12
212202,Kaushambi,Uttar Pradesh,2,1,11
212208,Prayagraj,Uttar Pradesh,2,1,8
212401,Prayagraj,Uttar Pradesh,2,1,13
212652,Fatehpur,Uttar Pradesh,2,1,14
224141,Ayodhya,Uttar Pradesh,2,1,15
224206,Ayodhya,Uttar Pradesh,2,1,12
224234,Ayodhya,Uttar Pradesh,2,1,10
227408,Amethi,Uttar Pradesh,2,1,7
227805,Sultanpur,Uttar Pradesh,2,1,11
227808,Sultanpur,Uttar Pradesh,2,1,12
227813,Amethi,Uttar Pradesh,2,1,16
227815,Sultanpur,Uttar Pradesh,2,1,11
227816,Amethi,Uttar Pradesh,2,1,16
228159,Sultanpur,Uttar Pradesh,2,1,16
229126,Amethi,Uttar Pradesh,2,1,7
229302,Amethi,Uttar Pradesh,2,1,11
229304,Amethi,Uttar Pradesh,2,1,10
229305,Rae Bareli,Uttar Pradesh,2,1,10
229306,Rae Bareli,Uttar Pradesh,2,1,20
229801,Amethi,Uttar Pradesh,2,1,7
229802,Amethi,Uttar Pradesh,2,1,10
230501,Pratapgarh,Uttar Pradesh,2,1,7
231210,Mirzapur,Uttar Pradesh,2,1,42
231307,Mirzapur,Uttar Pradesh,2,1,20
241001,Hardoi,Uttar Pradesh,2,1,41
243723,Budaun,Uttar Pradesh,2,1,17
244401,Moradabad,Uttar Pradesh,2,1,10
244411,Moradabad,Uttar Pradesh,2,1,24
244501,Moradabad,Uttar Pradesh,2,1,17
244701,Rampur,Uttar Pradesh,2,1,19
244713,Udam Singh Nagar,Uttarakhand,2,1,16
244715,Nainital,Uttarakhand,2,1,20
244716,Nainital,Uttarakhand,2,1,3
244923,Rampur,Uttar Pradesh,2,2,7
244924,Rampur,Uttar Pradesh,2,2,15
245304,Hapur,Uttar Pradesh,2,1,18
246429,Chamoli,Uttarakhand,2,1,16
246442,Rudra Prayag,Uttarakhand,2,1,8
247662,Saharanpur,Uttar Pradesh,2,2,13
247771,Shamli,Uttar Pradesh,2,1,5
247772,Muzaffarnagar,Uttar Pradesh,2,1,12
247775,Shamli,Uttar Pradesh,2,1,16
247776,Shamli,Uttar Pradesh,2,1,29
248008,Dehradun,Uttarakhand,2,1,11
248158,Dehradun,Uttarakhand,2,1,14
248179,Dehradun,Uttarakhand,2,1,9
249165,Tehri Garhwal,Uttarakhand,2,1,20
249196,Uttar Kashi,Uttarakhand,2,1,15
249301,Pauri Garhwal,Uttarakhand,2,1,12
250611,Baghpat,Uttar Pradesh,2,1,27
251301,Muzaffarnagar,Uttar Pradesh,2,1,8
251319,Muzaffarnagar,Uttar Pradesh,2,1,8
261505,Kheri,Uttar Pradesh,2,1,34
262529,Pithoragarh,Uttarakhand,2,1,10
262721,Kheri,Uttar Pradesh,2,1,10
262722,Kheri,Uttar Pradesh,2,1,19
262728,Kheri,Uttar Pradesh,2,1,10
262904,Pilibhit,Uttar Pradesh,2,1,10
263628,Bageshwar,Uttarakhand,2,1,13
263635,Bageshwar,Uttarakhand,2,1,15
271201,Balrampur,Uttar Pradesh,2,1,22
271305,Gonda,Uttar Pradesh,2,1,12
271307,Balrampur,Uttar Pradesh,2,1,13
272151,Basti,Uttar Pradesh,2,1,15
272152,Siddharth Nagar,Uttar Pradesh,2,1,22
272178,Basti,Uttar Pradesh,2,1,23
273155,Maharajganj,Uttar Pradesh,2,1,17
273161,Maharajganj,Uttar Pradesh,2,1,8
273165,Gorakhpur,Uttar Pradesh,2,1,24
273306,Gorakhpur,Uttar Pradesh,2,1,12
273413,Gorakhpur,Uttar Pradesh,2,1,25
274206,Deoria,Uttar Pradesh,2,1,11
275303,Mau,Uttar Pradesh,2,1,7
276306,Mau,Uttar Pradesh,2,1,10
276403,Mau,Uttar Pradesh,2,1,21
276405,Mau,Uttar Pradesh,2,1,8
276406,Azamgarh,Uttar Pradesh,2,1,8
281104,Hathras,Uttar Pradesh,2,1,4
283203,Firozabad,Uttar Pradesh,2,1,31
285001,Jalaun,Uttar Pradesh,2,1,28
285203,Jalaun,Uttar Pradesh,2,1,16
285205,Jalaun,Uttar Pradesh,2,1,31
301027,Alwar,Rajasthan,2,1,11
305402,Ajmer,Rajasthan,2,2,8
305625,Ajmer,Rajasthan,2,1,4
305901,Ajmer,Rajasthan,2,1,20
305922,Ajmer,Rajasthan,2,1,7
305925,Ajmer,Rajasthan,2,1,10
311302,Bhilwara,Rajasthan,2,1,13
311601,Bhilwara,Rajasthan,2,2,11
312628,Pratapgarh,Rajasthan,2,1,2
313011,Udaipur,Rajasthan,2,1,17
313202,Rajsamand,Rajasthan,2,1,9
313204,Udaipur,Rajasthan,2,1,10
313206,Udaipur,Rajasthan,2,1,5
313322,Rajsamand,Rajasthan,2,1,12
314001,Dungarpur,Rajasthan,2,1,21
321610,Karauli,Rajasthan,2,1,6
322033,Sawai Madhopur,Rajasthan,2,1,8
322202,Sawai Madhopur,Rajasthan,2,1,10
322203,Karauli,Rajasthan,2,1,10
322204,Karauli,Rajasthan,2,1,7
322212,Sawai Madhopur,Rajasthan,2,1,7
322215,Karauli,Rajasthan,2,1,11
322219,Sawai Madhopur,Rajasthan,2,1,13
325207,Kota,Rajasthan,2,1,9
332028,Sikar,Rajasthan,2,2,9
333022,Jhunjhunu,Rajasthan,2,2,9
335062,Ganganagar,Rajasthan,2,1,16
335513,Hanumangarh,Rajasthan,2,2,11
335526,Hanumangarh,Rajasthan,2,2,15
343027,Jalore,Rajasthan,2,2,13
345021,Jaisalmer,Rajasthan,2,1,25
345033,Jaisalmer,Rajasthan,2,1,11
360003,Rajkot,Gujarat,2,1,12
360110,Rajkot,Gujarat,2,1,27
360405,Rajkot,Gujarat,2,1,9
360480,Jamnagar,Gujarat,2,1,7
360590,Porbandar,Gujarat,2,1,17
361010,Devbhumi Dwarka,Gujarat,2,1,7
362135,Junagadh,Gujarat,2,1,3
362150,Gir Somnath,Gujarat,2,1,22
362230,Porbandar,Gujarat,2,1,9
362255,Junagadh,Gujarat,2,1,14
362620,Junagadh,Gujarat,2,1,22
362650,Porbandar,Gujarat,2,1,15
