pincode,centroid_lat,centroid_lon,area_sqkm
141115,30.940458,76.198701,237.2175
141116,30.811745,75.832836,71.3553
141117,30.687307,75.909297,81.4321
141118,30.754703,75.830763,16.7844
141119,30.625721,75.945767,107.6104
141120,30.82838,75.966518,64.7936
141121,30.924565,76.287551,131.7332
141122,30.828527,75.893028,24.7885
141123,30.887655,75.970384,13.8739
141125,30.837275,76.287482,17.4839
141126,30.948094,76.061185,201.9714
141127,30.816721,76.328977,112.0576
141201,30.760005,75.803677,17.0332
141202,30.757912,75.739459,37.6971
141203,30.770876,75.779502,18.2587
141204,30.701242,75.797243,54.3083
141205,30.66349,75.74696,70.5455
141206,30.775614,75.891115,76.393
141401,30.70749,76.19012,128.8559
141411,30.732969,76.309877,107.414
141412,30.750592,76.121918,48.0363
141413,30.667843,76.011489,77.2123
141414,30.664467,76.100456,123.5831
141415,30.603464,76.070244,68.6516
141416,30.732744,76.047396,52.5339
141417,30.74896,76.228678,32.6501
141418,30.723647,75.857921,48.9346
141419,30.724718,75.967269,45.8585
141421,30.794034,76.039615,213.6595
141422,30.807848,75.648468,28.9031
141801,30.800075,76.398423,74.195
142001,30.812174,75.17124,57.9603
142002,30.752539,75.130034,141.8135
142003,30.846958,75.198859,54.4114
142011,30.789786,75.241245,70.4002
142021,30.855421,75.743445,33.4816
142022,30.836107,75.780551,33.4899
142023,30.806069,75.579232,68.0506
142024,30.854128,75.535853,33.8372
142025,30.901395,75.589683,97.6288
142026,30.78725,75.492938,178.1853
142027,30.915167,75.74346,39.5039
142028,30.870431,75.779412,2.269
142029,30.80281,75.743689,37.6761
142030,30.722068,75.521632,48.6317
142031,30.620314,75.434238,50.3573
142032,30.62726,75.489809,43.8751
142033,30.923513,75.469211,299.096
142034,30.688923,75.467723,76.9148
142035,30.71395,75.407042,130.3813
142036,30.845822,75.417678,61.2972
142037,30.676883,75.27,130.7073
142038,30.695284,75.047053,363.1965
142039,30.601669,75.357109,187.8437
142040,30.738667,75.254937,56.1069
142041,30.883519,75.328312,73.9976
142042,30.97842,75.218274,375.2353
142043,30.978233,75.11898,200.7663
142044,31.098338,74.984762,377.8568
142045,30.584159,75.194889,65.0497
142046,30.571838,75.230639,72.9571
142047,30.99605,74.962156,231.3652
142048,30.833369,75.033521,291.6473
142049,30.600158,75.014821,299.651
142050,30.903464,74.912887,196.2453
142052,30.891958,74.800641,321.9208
142053,30.770609,75.339918,166.3013
142054,30.845733,75.308376,70.0094
142055,30.569328,75.289392,107.6724
142056,30.672467,75.182846,70.5382
142057,30.568166,75.101894,68.859
142058,30.94,75.336544,94.5458
142060,30.792996,74.882497,129.1381
143001,31.630888,74.883415,24.6885
143002,31.642399,74.84363,13.3501
143003,31.647131,74.910669,17.9581
143004,31.642708,74.900958,1.2104
143005,31.638478,74.821282,3.3909
143006,31.613144,74.879041,10.3483
143008,31.68283,74.871347,80.272
143009,31.579632,74.839349,74.611
143022,31.565424,74.92537,123.9118
143101,31.743909,74.812179,213.4168
143102,31.860955,74.733331,431.3047
143103,31.875641,74.846386,135.5198
143105,31.620149,74.77448,112.8515
143107,31.603265,74.695913,160.3129
143108,31.618325,74.614677,182.988
143109,31.708897,74.690164,150.8781
143110,31.764709,74.594119,224.834
143111,31.560628,75.162528,96.3127
143112,31.532147,75.204627,41.9321
143113,31.62941,75.015957,66.7645
143114,31.666576,75.230224,90.9757
143115,31.546194,75.003713,90.6614
143116,31.638306,75.122788,141.5238
143117,31.461016,75.095097,111.0184
143118,31.453035,75.179818,172.1538
143119,31.707875,75.152499,72.9171
143149,31.572007,75.080192,100.2119
143201,31.521048,75.268686,68.7427
143202,31.583699,75.245463,68.0552
143203,31.608803,75.340572,77.6259
143204,31.564959,75.322563,26.1621
143205,31.622495,75.274301,51.3599
143301,31.486459,74.798024,158.6686
143302,31.442243,74.740921,226.494
143303,31.336504,74.725532,133.0209
143304,31.279635,74.750643,122.2507
143305,31.346104,74.601823,267.0109
143401,31.451947,74.926744,43.761
143402,31.456712,74.966967,223.1558
143406,31.452079,75.032364,157.2335
143407,31.318342,75.076969,89.1934
143408,31.223998,75.010161,136.6692
143409,31.318041,74.981102,102.5955
143410,31.262372,74.941093,78.1713
143411,31.377497,74.984824,140.1917
143412,31.197362,74.916927,97.0207
143413,31.204869,74.646733,47.7304
143414,31.493858,74.673075,87.3021
143415,31.340162,74.849967,117.1045
143416,31.208495,74.769106,338.7869
143419,31.182853,74.600808,344.7922
143422,31.354111,75.129929,51.4296
143501,31.661361,74.957755,96.8456
143502,31.720812,75.015878,100.2548
143504,31.716273,75.086802,81.4931
143505,31.81986,75.192593,55.4823
143506,31.785789,75.224818,348.2322
143507,31.825752,75.112323,62.6255
143511,31.926882,75.152584,170.7261
143512,32.025907,75.173965,215.1769
143513,31.903928,75.026353,59.1046
143514,31.681719,75.360867,184.8231
143515,31.682652,75.44781,112.1135
143516,31.811986,75.370334,206.408
143517,31.851546,75.521153,143.0427
143518,31.887314,75.304418,175.5595
143519,31.958888,75.297566,157.5313
143520,32.010201,75.332245,75.9526
143521,32.051019,75.382568,202.2693
143525,32.171767,75.356244,59.6273
143526,32.100071,75.297082,119.861
143527,31.773146,75.478265,197.812
143528,31.919046,75.474054,119.0506
143529,31.954103,75.409926,72.4153
143530,31.997981,75.496788,101.4497
143531,32.105763,75.500561,207.2346
143532,32.129322,75.406427,61.0323
143533,32.104163,75.561573,54.9318
143534,32.207895,75.46046,142.638
